xmin,ymin,xmax,ymax,Object
132,782,667,808,o
347,751,403,773,o
698,705,761,729,o
605,703,693,726,o
698,665,760,689,o
600,663,693,686,o
698,625,760,649,total
650,623,693,646,o
698,584,759,606,o
631,583,693,606,o
516,512,576,536,o
693,511,756,536,o
606,511,654,536,o
205,510,508,574,o
20,510,183,533,o
692,467,743,489,o
606,464,656,489,o
516,464,579,489,o
205,463,457,508,o
20,463,145,489,o
712,435,760,457,o
613,435,687,460,o
522,435,601,457,o
313,435,409,460,o
91,435,136,457,o
726,356,779,377,o
480,347,542,387,o
481,306,520,328,date
554,296,779,341,o
733,258,780,283,o
480,248,537,287,o
15,225,335,256,ee
15,73,194,137,o
0,14,800,57,o
