xmin,ymin,xmax,ymax,Object
132,801,667,827,o
347,770,403,792,o
697,724,760,748,o
604,722,692,745,o
697,684,760,708,o
599,682,692,705,o
697,643,760,668,total
649,642,692,665,o
697,603,761,625,o
630,602,692,625,o
692,530,755,555,o
605,530,654,555,o
516,530,579,555,o
204,529,488,593,o
21,529,168,552,o
692,464,743,489,o
605,464,647,489,o
516,464,577,489,o
205,463,514,527,o
21,463,188,489,o
712,435,760,457,o
612,435,687,460,o
522,435,600,457,o
313,435,409,460,o
91,435,136,457,o
716,356,779,380,o
480,347,542,387,o
481,306,520,328,date
550,297,779,340,o
729,261,779,283,o
480,248,537,287,o
15,225,351,256,ee
15,73,202,137,o
0,14,800,57,o
